time,Twb_outside,Mchw,Tchw_r
0,280.95,91.69174002,289.03
300,280.95,91.69174002,289.03
600,280.95,91.69174002,289.03
900,280.95,91.69174002,289.03
1200,280.95,91.69174002,289.03
1500,280.95,91.69174002,289.03
1800,280.95,91.69174002,289.03
2100,280.95,91.69174002,289.03
2400,280.95,91.69174002,289.03
2700,280.95,91.69174002,289.03
3000,280.95,91.69174002,289.03
3300,280.95,91.69174002,289.03
3600,280.95,91.69174002,289.03
3900,280.95,91.69174002,289.03
4200,280.95,91.69174002,289.03
4500,280.95,91.69174002,289.03
4800,280.95,91.69174002,289.03
5100,280.95,91.69174002,289.03
5400,280.95,91.69174002,289.03
5700,280.95,91.69174002,289.03
6000,280.95,91.69174002,289.03
6300,280.95,91.69174002,289.03
6600,280.95,91.69174002,289.03
6900,280.95,91.69174002,289.03
7200,280.95,91.69174002,289.03
7500,280.95,91.69174002,289.03
7800,280.95,91.69174002,289.03
8100,280.95,91.69174002,289.03
8400,280.95,91.69174002,289.03
8700,280.95,91.69174002,289.03
9000,280.95,91.69174002,289.03
9300,280.95,91.69174002,289.03
9600,280.95,91.69174002,289.03
9900,280.95,91.69174002,289.03
10200,280.95,91.69174002,289.03
10500,280.95,91.69174002,289.03
10800,280.95,91.69174002,289.03
11100,280.95,91.69174002,289.03
11400,280.95,91.69174002,289.03
11700,280.95,91.69174002,289.03
12000,280.95,91.69174002,289.03
12300,280.95,91.69174002,289.03
12600,280.95,91.69174002,289.03
12900,280.95,91.69174002,289.03
13200,280.95,91.69174002,289.03
13500,280.95,91.69174002,289.03
13800,280.95,91.69174002,289.03
14100,280.95,91.69174002,289.03
14400,280.95,91.69174002,289.03
14700,280.95,91.69174002,289.03
15000,280.95,91.69174002,289.03
15300,280.95,91.69174002,289.03
15600,280.95,91.69174002,289.03
15900,280.95,91.69174002,289.03
16200,280.95,91.69174002,289.03
16500,280.95,91.69174002,289.03
16800,280.95,91.69174002,289.03
17100,280.95,91.69174002,289.03
17400,280.95,91.69174002,289.03
17700,280.95,91.69174002,289.03
18000,280.95,91.69174002,289.03
18300,280.95,91.69174002,289.03
18600,280.95,91.69174002,289.03
18900,280.95,91.69174002,289.03
19200,280.95,91.69174002,289.03
19500,280.95,91.69174002,289.03
19800,280.95,91.69174002,289.03
20100,280.95,91.69174002,289.03
20400,280.95,91.69174002,289.03
20700,280.95,91.69174002,289.03
21000,280.95,91.69174002,289.03
21300,280.95,91.69174002,289.03
21600,280.95,91.69174002,289.03
21900,280.95,91.69174002,289.03
22200,280.95,91.69174002,289.03
22500,280.95,91.69174002,289.03
22800,280.95,91.69174002,289.03
23100,280.95,91.69174002,289.03
23400,280.95,91.69174002,289.03
23700,280.95,91.69174002,289.03
24000,280.95,91.69174002,289.03
24300,280.95,91.69174002,289.03
24600,280.95,91.69174002,289.03
24900,280.95,91.69174002,289.03
25200,280.95,91.69174002,289.03
25500,280.95,91.69174002,289.03
25800,280.95,91.69174002,289.03
26100,280.95,91.69174002,289.03
26400,280.95,91.69174002,289.03
26700,280.95,91.69174002,289.03
27000,280.95,91.69174002,289.03
27300,280.95,91.69174002,289.03
27600,280.95,91.69174002,289.03
27900,280.95,91.69174002,289.03
28200,280.95,91.69174002,289.03
28500,280.95,91.69174002,289.03
28800,280.95,91.69174002,289.03
29100,280.95,91.69174002,289.03
29400,280.95,91.69174002,289.03
29700,280.95,91.69174002,289.03
30000,280.95,91.69174002,289.03
30300,280.95,91.69174002,289.03
30600,280.95,91.69174002,289.03
30900,280.95,91.69174002,289.03
31200,280.95,91.69174002,289.03
31500,280.95,91.69174002,289.03
31800,280.95,91.69174002,289.03
32100,280.95,91.69174002,289.03
32400,280.95,91.69174002,289.03
32700,280.95,91.69174002,289.03
33000,280.95,91.69174002,289.03
